Ime tima,Država,Grad,Odjel lige,Godina osnuća,Trener,Plasman zadnje sezone,Omjer pobijeda i poraza zadnje sezone,Broj titula,Igrač
Buffalo Bandits,USA,Buffalo,East,1991,John Tavares,2nd,14-4,4,Smith Dhane
Calgary Roughnecks,Canada,Calgary,West,2002,Curt Malawsky,1st,12-6,3,Dobbie Dane
New England Black Wolves,USA,Connecticut,East,2015,Glenn Clark,5th,9-9,0,Leblanc Stephan
Buffalo Bandits,USA,Buffalo,East,1991,John Tavares,2nd,14-4,4,Evans Shawn
San Diego Seals,USA,San Diego,West,2017,Patrick Merrill,8th,10-8,0,Billings Garrett
Toronto Rock,Canada,Hamilton,East,1998,Matt Sawyer,4th,12-6,6,Schreiber Tom
Saskatchewan Rush,Canada,Saskatoon,West,2015,Derek Keenan,7th,11-7,2,Matthews Mark
Georgia Swarm,USA,Duluth,East,2004,Ed Comeau,6th,12-6,1,Thompson Lyle
New England Black Wolves,USA,Connecticut,East,2015,Glenn Clark,5th,9-9,0,CrawFord Callum
San Diego Seals,USA,San Diego,West,2017,Patrick Merrill,8th,10-8,0,Dawson Dan
Rochester Knighthawks,USA,Rochester,East,2019,Mike Hasen,10th,6-12,0,Jamieson Cody
Philadelphia Wings,USA,Philadelphia,East,2019,Paul Day,9th,4-14,0,Matisz Kiel
Vancouver Warriors,Canada,Vancouver,West,2014,Chris Gill,11th,5-13,0,Jones Mitch
Colorado Mammoth,USA,Denver,West,2003,Chris Gill,3rd,6-12,1,McLaughlin Eli
